national_park,pos,review_year,tokens,counts
Acadia National Park,ADJ,2017,thunderous,1
Acadia National Park,ADJ,2017,tidal,1
Acadia National Park,ADJ,2017,tight,2
Acadia National Park,ADJ,2017,tippy,1
Acadia National Park,ADJ,2017,tough,2
Acadia National Park,ADJ,2017,tranquil,1
Acadia National Park,ADJ,2017,tremendous,1
Acadia National Park,ADJ,2017,ultra,1
Acadia National Park,ADJ,2017,unable,1
Acadia National Park,ADJ,2017,unbelievable,1
Acadia National Park,ADJ,2017,unforgettable,1
Acadia National Park,ADJ,2017,unique,1
Acadia National Park,ADJ,2017,unpolished,1
Acadia National Park,ADJ,2017,unstressful,1
Acadia National Park,ADJ,2017,uphill,1
Acadia National Park,ADJ,2017,useful,1
Acadia National Park,ADJ,2017,usual,1
Acadia National Park,ADJ,2017,various,5
Acadia National Park,ADJ,2017,viable,1
Acadia National Park,ADJ,2017,visible,1
Acadia National Park,ADJ,2017,warm,3
Acadia National Park,ADJ,2017,wavy,1
Acadia National Park,ADJ,2017,western,1
Acadia National Park,ADJ,2017,whole,3
Acadia National Park,ADJ,2017,wild,1
Acadia National Park,ADJ,2017,windy,2
Acadia National Park,ADJ,2017,wonderful,34
Acadia National Park,ADJ,2017,wooden,1
Acadia National Park,ADJ,2017,worse,3
Acadia National Park,ADJ,2017,worth,29
Acadia National Park,ADJ,2017,worthwhile,1
Acadia National Park,ADJ,2017,worthy,1
Acadia National Park,ADJ,2017,yearly,1
Acadia National Park,ADJ,2017,yellow,2
Acadia National Park,ADJ,2017,young,3
Acadia National Park,ADJ,2017,yummy,1
Acadia National Park,ADJ,2018,10th,1
Acadia National Park,ADJ,2018,12.october.2018,1
Acadia National Park,ADJ,2018,21st,1
Acadia National Park,ADJ,2018,26-mile,1
Acadia National Park,ADJ,2018,27-mile,4
Acadia National Park,ADJ,2018,30th,1
Acadia National Park,ADJ,2018,40-minute,1
Acadia National Park,ADJ,2018,able,44
Acadia National Park,ADJ,2018,absolute,4
Acadia National Park,ADJ,2018,accessible,20
Acadia National Park,ADJ,2018,accurate,3
Acadia National Park,ADJ,2018,active,1
Acadia National Park,ADJ,2018,actual,1
Acadia National Park,ADJ,2018,additional,2
Acadia National Park,ADJ,2018,adequate,1
Acadia National Park,ADJ,2018,adjacent,1
Acadia National Park,ADJ,2018,advanced,1
Acadia National Park,ADJ,2018,adventurous,4
Acadia National Park,ADJ,2018,adverse,1
Acadia National Park,ADJ,2018,advisor-,1
Acadia National Park,ADJ,2018,affluent,1
Acadia National Park,ADJ,2018,afraid,1
Acadia National Park,ADJ,2018,alone,2
Acadia National Park,ADJ,2018,amazed,4
Acadia National Park,ADJ,2018,amazing,125
Acadia National Park,ADJ,2018,american,1
Acadia National Park,ADJ,2018,ample,4
Acadia National Park,ADJ,2018,annoying,1
Acadia National Park,ADJ,2018,annual,1
Acadia National Park,ADJ,2018,appropriate,2
Acadia National Park,ADJ,2018,arduous,1
Acadia National Park,ADJ,2018,aroung,1
Acadia National Park,ADJ,2018,asleep,1
Acadia National Park,ADJ,2018,astonished,1
Acadia National Park,ADJ,2018,astonishing,1
Acadia National Park,ADJ,2018,astounding,1
Acadia National Park,ADJ,2018,astronomical,1
Acadia National Park,ADJ,2018,atlantic,3
Acadia National Park,ADJ,2018,attractive,1
Acadia National Park,ADJ,2018,available,20
Acadia National Park,ADJ,2018,average,2
Acadia National Park,ADJ,2018,avid,4
Acadia National Park,ADJ,2018,aware,5
Acadia National Park,ADJ,2018,awesome,41
Acadia National Park,ADJ,2018,awful,2
Acadia National Park,ADJ,2018,bald,2
Acadia National Park,ADJ,2018,barred,1
Acadia National Park,ADJ,2018,basic,2
Acadia National Park,ADJ,2018,beautifu,1
Acadia National Park,ADJ,2018,beautiful,373
Acadia National Park,ADJ,2018,beehive,10
Acadia National Park,ADJ,2018,behaved,1
Acadia National Park,ADJ,2018,beloved,1
Acadia National Park,ADJ,2018,best,63
Acadia National Park,ADJ,2018,better,21
Acadia National Park,ADJ,2018,bigger,3
Acadia National Park,ADJ,2018,biggest,3
Acadia National Park,ADJ,2018,black,3
Acadia National Park,ADJ,2018,blessed,1
Acadia National Park,ADJ,2018,blue,7
Acadia National Park,ADJ,2018,bold,1
Acadia National Park,ADJ,2018,booming,1
Acadia National Park,ADJ,2018,bored,2
Acadia National Park,ADJ,2018,boring,3
Acadia National Park,ADJ,2018,brave,2
Acadia National Park,ADJ,2018,breathtaking,14
Acadia National Park,ADJ,2018,brief,3
Acadia National Park,ADJ,2018,bright,2
Acadia National Park,ADJ,2018,brown,1
Acadia National Park,ADJ,2018,brrrr,1
Acadia National Park,ADJ,2018,brusque,1
Acadia National Park,ADJ,2018,busier,2
Acadia National Park,ADJ,2018,busy,39
Acadia National Park,ADJ,2018,butiful,1
Acadia National Park,ADJ,2018,cadiallic,1
Acadia National Park,ADJ,2018,calm,1
Acadia National Park,ADJ,2018,capable,1
Acadia National Park,ADJ,2018,careful,4
Acadia National Park,ADJ,2018,catastrophic,1
Acadia National Park,ADJ,2018,certain,4
Acadia National Park,ADJ,2018,challenging,27
Acadia National Park,ADJ,2018,charming,1
Acadia National Park,ADJ,2018,cheerful,1
Acadia National Park,ADJ,2018,chilly,5
Acadia National Park,ADJ,2018,choppy,1
Acadia National Park,ADJ,2018,civilized,1
Acadia National Park,ADJ,2018,clean,14
Acadia National Park,ADJ,2018,cleaner,1
Acadia National Park,ADJ,2018,cleanest,1
Acadia National Park,ADJ,2018,clear,24
Acadia National Park,ADJ,2018,clearer,1
Acadia National Park,ADJ,2018,clockwise,1
Acadia National Park,ADJ,2018,clogged,1
Acadia National Park,ADJ,2018,close,8
Acadia National Park,ADJ,2018,closer,5
Acadia National Park,ADJ,2018,closest,2
Acadia National Park,ADJ,2018,cloudy,7
Acadia National Park,ADJ,2018,coastal,10
Acadia National Park,ADJ,2018,cobblestone,1
Acadia National Park,ADJ,2018,cold,27
Acadia National Park,ADJ,2018,colder,1
Acadia National Park,ADJ,2018,colorful,4
Acadia National Park,ADJ,2018,comfortable,8
Acadia National Park,ADJ,2018,commercial,1
Acadia National Park,ADJ,2018,common,2
Acadia National Park,ADJ,2018,compact,1
Acadia National Park,ADJ,2018,complete,6
Acadia National Park,ADJ,2018,concerned,2
Acadia National Park,ADJ,2018,conducive,1
Acadia National Park,ADJ,2018,confused,1
Acadia National Park,ADJ,2018,coniferous,1
